Nomes com Barbeiro
Eduardo Aragão - Barbeiro: Rennan
Hugo Monteiro - Barbeiro: Antônio
Pedro Pereira - Barbeiro: Vicente
Sérgio Freitas - Barbeiro: Arthur
Julio Carvalho - Barbeiro: Vicente
Gustavo Monteiro - Barbeiro: Arthur
Eduardo Pinto - Barbeiro: Arthur
Bernardo Cavalcanti - Barbeiro: Rennan
Lucas Andrade - Barbeiro: Arthur
Carlos Correia - Barbeiro: Arthur
Paulo Queiroz - Barbeiro: Arthur
Marcelo Melo - Barbeiro: Vicente
Augusto Santana - Barbeiro: Rennan
Vinícius Vasconcelos - Barbeiro: Vicente
Tiago Dias - Barbeiro: Rennan
Sérgio Andrade - Barbeiro: Vicente
Mateus Sá - Barbeiro: Arthur
Eduardo Vieira - Barbeiro: Arthur
Neto Pinto - Barbeiro: Rennan
André Macedo - Barbeiro: Rennan
Pedro Silva - Barbeiro: Arthur
Bernardo Andrade - Barbeiro: Arthur
Alexandre Gomes - Barbeiro: Antônio
Vinícius Morais - Barbeiro: Vicente
Davi Lopes - Barbeiro: Rennan
Thiago Macedo - Barbeiro: Vicente
Fernando Costa - Barbeiro: Vicente
Davi Batista - Barbeiro: Rennan
Bruno Gomes - Barbeiro: Arthur
Lucas Batista - Barbeiro: Rennan
Felipe Paiva - Barbeiro: Vicente
Marcos Gomes - Barbeiro: Vicente
Augusto Nogueira - Barbeiro: Vicente
João Paulo Batista - Barbeiro: Antônio
Thiago Farias - Barbeiro: Antônio
Rafael Almeida - Barbeiro: Vicente
Fábio Nogueira - Barbeiro: Rennan
Roberto Dias - Barbeiro: Rennan
João Paulo Sousa - Barbeiro: Vicente
Sérgio Pereira - Barbeiro: Rennan
Gustavo Vieira - Barbeiro: Vicente
João Paulo Teixeira - Barbeiro: Antônio
João Nascimento - Barbeiro: Arthur
Leandro Oliveira - Barbeiro: Rennan
Henrique Pinto - Barbeiro: Antônio
João Paulo Carvalho - Barbeiro: Arthur
Renato Ferreira - Barbeiro: Arthur
Mateus Almeida - Barbeiro: Antônio
Mateus Silva - Barbeiro: Antônio
André Andrade - Barbeiro: Antônio
