Nomes com Tipo de Corte
Marcelo Melo - Social
João Paulo Batista - Raspado
Thiago Macedo - Tesoura
Bernardo Cavalcanti - Disfarce
Carlos Correia - Tesoura
Augusto Santana - Disfarce
Sérgio Freitas - Social
Eduardo Vieira - Disfarce
Henrique Pinto - Raspado
Davi Lopes - Raspado
Mateus Silva - Social
Gustavo Vieira - Raspado
João Paulo Teixeira - Tesoura
Felipe Paiva - Tesoura
Julio Carvalho - Disfarce
Alexandre Gomes - Raspado
André Andrade - Tesoura
Lucas Andrade - Tesoura
André Macedo - Disfarce
Mateus Almeida - Social
Renato Ferreira - Tesoura
Tiago Dias - Tesoura
Fernando Costa - Disfarce
Bernardo Andrade - Tesoura
Bruno Gomes - Social
Hugo Monteiro - Tesoura
João Paulo Carvalho - Social
Pedro Silva - Tesoura
Paulo Queiroz - Raspado
Pedro Pereira - Disfarce
Sérgio Pereira - Tesoura
Augusto Nogueira - Social
Eduardo Pinto - Raspado
Leandro Oliveira - Raspado
Davi Batista - Tesoura
Lucas Batista - Tesoura
Fábio Nogueira - Raspado
Roberto Dias - Social
Vinícius Morais - Raspado
João Nascimento - Raspado
Neto Pinto - Disfarce
João Paulo Sousa - Raspado
Mateus Sá - Disfarce
Gustavo Monteiro - Tesoura
Thiago Farias - Social
Rafael Almeida - Disfarce
Eduardo Aragão - Disfarce
Marcos Gomes - Disfarce
Vinícius Vasconcelos - Disfarce
Sérgio Andrade - Tesoura
